Transaktions-ID,Datum,Kunden-ID,Artikel
5ffb5440-5bf8-495c-a011-72a66aa9a615,05/11/20,381,Haltbare Milch
5ffb5440-5bf8-495c-a011-72a66aa9a615,05/11/20,381,Flaschenbier
5ffb5440-5bf8-495c-a011-72a66aa9a615,05/11/20,381,Liquör
5ffb5440-5bf8-495c-a011-72a66aa9a615,05/11/20,381,Geschirr
70b7962e-8d0d-4b90-9079-5b4d2adb2b75,21/08/20,495,Eier aus der Region
9a421944-a4aa-4927-a427-bee53113ffee,28/01/21,156,Frischhaltefolie
ff4d7c47-8f7f-4f2c-b363-7719c92c7025,31/10/20,205,Wurzelgemüse
ff4d7c47-8f7f-4f2c-b363-7719c92c7025,31/10/20,205,Trockenobst
ff4d7c47-8f7f-4f2c-b363-7719c92c7025,31/10/20,205,Butter
ff4d7c47-8f7f-4f2c-b363-7719c92c7025,31/10/20,205,Saure Sahne
ff4d7c47-8f7f-4f2c-b363-7719c92c7025,31/10/20,205,Brötchen
4a2a9b4b-2b68-4b11-a059-a4303c061689,21/12/20,209,Vollmilch
b2abae39-6b2b-4f1b-bb8a-1e12fa744d76,13/06/20,180,Streichkäse
b2abae39-6b2b-4f1b-bb8a-1e12fa744d76,13/06/20,180,Kaffee
b2abae39-6b2b-4f1b-bb8a-1e12fa744d76,13/06/20,180,Mineralwasser
fceb830a-227a-47fc-9a94-2969a6217ab5,19/06/20,424,Weißwein
d0b7277c-28fd-469a-99f6-eec511815cfa,25/04/20,496,Vollmilch
d0b7277c-28fd-469a-99f6-eec511815cfa,25/04/20,496,Dunkles Brot
d0b7277c-28fd-469a-99f6-eec511815cfa,25/04/20,496,Zeitungen
d5596cf0-e978-4ee4-8418-36ebdde62081,26/06/20,138,Wurzelgemüse
d5596cf0-e978-4ee4-8418-36ebdde62081,26/06/20,138,Vollmilch
d5596cf0-e978-4ee4-8418-36ebdde62081,26/06/20,138,Joghurt
d5596cf0-e978-4ee4-8418-36ebdde62081,26/06/20,138,Brötchen
f85b6afe-2cea-438f-92d3-4a4cb5efa552,26/12/20,160,Hühnchen
f85b6afe-2cea-438f-92d3-4a4cb5efa552,26/12/20,160,Zitrusfrüchte
f85b6afe-2cea-438f-92d3-4a4cb5efa552,26/12/20,160,Joghurt
f85b6afe-2cea-438f-92d3-4a4cb5efa552,26/12/20,160,Haltbare Milch
f85b6afe-2cea-438f-92d3-4a4cb5efa552,26/12/20,160,Weichkäse
f85b6afe-2cea-438f-92d3-4a4cb5efa552,26/12/20,160,Brötchen
f85b6afe-2cea-438f-92d3-4a4cb5efa552,26/12/20,160,Margarine
f85b6afe-2cea-438f-92d3-4a4cb5efa552,26/12/20,160,Senf
f85b6afe-2cea-438f-92d3-4a4cb5efa552,26/12/20,160,Kaffee
f85b6afe-2cea-438f-92d3-4a4cb5efa552,26/12/20,160,Küchenhandtuch
f85b6afe-2cea-438f-92d3-4a4cb5efa552,26/12/20,160,Kerzen
d11ab37b-1a88-445a-ab69-4044b395f1be,16/10/20,4,Hamburgerfleisch
d11ab37b-1a88-445a-ab69-4044b395f1be,16/10/20,4,Beeren
d11ab37b-1a88-445a-ab69-4044b395f1be,16/10/20,4,Sonstiges Gemüse
55c46a3a-b75b-4021-9561-8c31d008d12c,10/10/20,15,exotische Früchte
55c46a3a-b75b-4021-9561-8c31d008d12c,10/10/20,15,Sonstiges Gemüse
55c46a3a-b75b-4021-9561-8c31d008d12c,10/10/20,15,eingelegtes Gemüse
c293882d-9b91-4839-8b8e-c78638a0be43,17/01/21,248,Frankfurter Würstchen
c293882d-9b91-4839-8b8e-c78638a0be43,17/01/21,248,Zitrusfrüchte
